bron_rij,Ad Name,Product,Awareness Level,Angle Type,Marketing Angle (origineel),Desires (origineel),Format,Media Type,Hook (short),Channel,Audience,Persona,Date Live,Budget (€),Impressions,Hook Rate (%),Hold Rate (%),CTR (%),CPM (€),CPC (€),Conversions,CVR (%),CPA (€),AOV (€),ROAS,Break-even ROAS,Target ROAS,Score (1-10),Status,Next Step,Notes,Creatives Link
90,033-3,Shave Package 3.0,2. Problem Aware,Authority / Expert,"Focus op zekerheid, gemak en vertrouwen. Geen wondjes, geen irritatie, geen onzekerheid.","Emotie: Stress, schaamte en onzekerheid bij trimmen/scheren.Desire: Pijnloos, zorgeloos en snel scheren → direct zelfvertrouwen en rust.",🖼️ Static ad,🖼️ Static ad,Scheren zonder stress roept... Stop de stress,Meta,NL & BE,Luca,2025-10-06,19.92,,0.0003,0.0,0.0056,5.34,0.95,,0.0925,9.96,49.95,5.02,1.81,2.26,,Iterate,,,https://drive.google.com/drive/folders/1w6Z5GVPH4n5dRlQAgMSxyZFTcanGA3Jq?usp=drive_link
91,033-4,Shave Package 3.0,2. Problem Aware,Authority / Expert,"Focus op zekerheid, gemak en vertrouwen. Geen wondjes, geen irritatie, geen onzekerheid.","Emotie: Stress, schaamte en onzekerheid bij trimmen/scheren.Desire: Pijnloos, zorgeloos en snel scheren → direct zelfvertrouwen en rust.",🖼️ Static ad,🖼️ Static ad,Scheren zonder stress roept... Scheren zonder zorgen,Meta,NL & BE,Luca,2025-10-06,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1w6Z5GVPH4n5dRlQAgMSxyZFTcanGA3Jq?usp=drive_link
92,034-1,Groom Guard,1. Unaware,Storytelling / Narrative,Re-edit Founder credibility + probleemoplossing,Verlangen naar vertrouwen en pijnvrij trimmen,👤 Founder Story / Origin Video,🎬 Video,"Ze vragen me weleens Kevin? Hoe vervang ik nou mn eigen autoband? Ik heb geen idee. Mijn naam is Dustin, en ik ben de eigenaar van Wellshave",Meta,NL & BE,Luca,2025-10-11,255.28,,0.4872,0.1914,0.0171,5.72,0.72,,0.0148,42.55,47.79,1.12,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1ba4Wj2Igeym7EEYEfEdkpSUpJjgfNz3y?usp=sharing
93,034-2,Groom Guard,1. Unaware,Storytelling / Narrative,Re-edit Founder credibility + probleemoplossing,Verlangen naar vertrouwen en pijnvrij trimmen,👤 Founder Story / Origin Video,🎬 Video,"“Mensen vraag wel eens, Jordi, hoe repareer je auto’s, ik heet helemaal geen Jordi en ik repareer geen auto’s. Mijn naam is Dustin founder van Wellshave”",Meta,NL & BE,Luca,2025-10-11,78.91,,,,0.0192,,,,0.0267,39.46,,1.14,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1ba4Wj2Igeym7EEYEfEdkpSUpJjgfNz3y?usp=sharing
94,034-3,Groom Guard,1. Unaware,Storytelling / Narrative,Re-edit Founder credibility + probleemoplossing,Verlangen naar vertrouwen en pijnvrij trimmen,👤 Founder Story / Origin Video,🎬 Video,"Pohhh, ze vragen me weleens Joey, hoe fix ik deze auto. Ik heb geen idee. Ik heet ook helemaal geen Joey. Mijn naam is Dustin en ik ben de founder van Wellshave",Meta,NL & BE,Luca,2025-10-11,71.67,,0.0002,0.0,0.0235,12.02,0.96,,0.0244,35.84,39.99,1.12,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1ba4Wj2Igeym7EEYEfEdkpSUpJjgfNz3y?usp=sharing
95,035-1,2in1 Dual Groomer,2. Problem Aware,Authority / Expert,"Focus op aantrekkingskracht: vrouwen waarderen verzorging, ook al zeggen ze het niet altijd. Met de 2-in-1 Dual Groomer straal je zelfvertrouwen uit dat zij direct merkt.",Zelfvertrouwen dat zichtbaar is en door de partner wordt opgemerkt,📱 UGC Talking Head Testimonial,🎬 Video,Wil jij weten waarom vrouwen de 2in1 Dual Groomer van Wellshave geweldig vinden?,Meta,NL & BE,Luca,2025-10-06,56.76,,0.5473,0.1552,0.0248,9.38,0.73,,0.0128,56.76,49.95,0.88,1.72,2.15,,Killed,,,https://drive.google.com/drive/folders/1dh_ZjqTCsYMctRiec6kjQbZ3qciU5IqW?usp=drive_link
96,035-2,2in1 Dual Groomer,2. Problem Aware,Authority / Expert,"Focus op aantrekkingskracht: vrouwen waarderen verzorging, ook al zeggen ze het niet altijd. Met de 2-in-1 Dual Groomer straal je zelfvertrouwen uit dat zij direct merkt.",Zelfvertrouwen dat zichtbaar is en door de partner wordt opgemerkt,📱 UGC Talking Head Testimonial,🎬 Video,Dit is waarom vrouwen blij worden van de 2in1 Dual Groomer van Wellshave,Meta,NL & BE,Luca,2025-10-07,4.69,,33.84,0.2143,0.0151,14.17,0.94,,0.0,0.0,0.0,0.0,1.72,2.15,,Killed,,,https://drive.google.com/drive/folders/1dh_ZjqTCsYMctRiec6kjQbZ3qciU5IqW?usp=drive_link
97,035-3,2in1 Dual Groomer,2. Problem Aware,Authority / Expert,"Focus op aantrekkingskracht: vrouwen waarderen verzorging, ook al zeggen ze het niet altijd. Met de 2-in-1 Dual Groomer straal je zelfvertrouwen uit dat zij direct merkt.",Zelfvertrouwen dat zichtbaar is en door de partner wordt opgemerkt,📱 UGC Talking Head Testimonial,🎬 Video,Vrouwen zeggen het misschien niet… maar ze houden van een man die verzorgd is.,Meta,NL & BE,Luca,2025-10-08,1.42,,0.4659,0.1463,0.0114,16.14,1.42,,0.0,0.0,0.0,0.0,1.72,2.15,,Killed,,,https://drive.google.com/drive/folders/1dh_ZjqTCsYMctRiec6kjQbZ3qciU5IqW?usp=drive_link
98,036-1,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Hygiëne & Gezondheid: “Hou je grooming clean: één trimmer voor je gezicht, één voor je body.”","Veiligheid, zorg voor jezelf, afkeer van viezigheid.",📱 UGC Talking Head Testimonial,🎬 Video,Klaar met een oerwoud daar beneden?,Meta,NL & BE,Luca,2025-10-08,166.2,,0.2249,0.2392,0.0118,8.16,0.69,,0.083,83.1,66.46,0.8,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1R8E877zWADPBIdobf6KtOwHjdJ70JJlw?usp=drive_link
99,036-2,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Hygiëne & Gezondheid: “Hou je grooming clean: één trimmer voor je gezicht, één voor je body.”","Veiligheid, zorg voor jezelf, afkeer van viezigheid.",📱 UGC Talking Head Testimonial,🎬 Video,Het is onhygiënisch om dezelfde trimmen voor je gezicht en je gevoelige delen te gebruiken,Meta,NL & BE,Luca,2025-10-08,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1R8E877zWADPBIdobf6KtOwHjdJ70JJlw?usp=drive_link
100,036-3,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Hygiëne & Gezondheid: “Hou je grooming clean: één trimmer voor je gezicht, één voor je body.”","Veiligheid, zorg voor jezelf, afkeer van viezigheid.",📱 UGC Talking Head Testimonial,🎬 Video,"Van je borst tot je ballen, dit apparaat regelt alles!",Meta,NL & BE,Luca,2025-10-08,0.7,,0.0,0.0,0.0,8.43,0.0,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1R8E877zWADPBIdobf6KtOwHjdJ70JJlw?usp=drive_link
101,037-1,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Veilig, stressvrij en multifunctioneel trimmen","Zelfvertrouwen: Goed verzorgde schaamstreek, oksels en borst → “Ik voel me fris, clean en zelfverzekerd.”",📱 UGC Talking Head Testimonial,🎬 Video,Vroeger schoor ik mijn ballen zo…,Meta,NL & BE,Luca,2025-10-11,18.8,,0.3632,0.2032,0.0213,8.51,0.4,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1CPTkA84J-G6Qk_aX5_O5gOThS2m-eME2?usp=drive_link
102,037-2,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Veilig, stressvrij en multifunctioneel trimmen","Zelfvertrouwen: Goed verzorgde schaamstreek, oksels en borst → “Ik voel me fris, clean en zelfverzekerd.”",📱 UGC Talking Head Testimonial,🎬 Video,"Ik schoor mijn ballen dus, zoo….",Meta,NL & BE,Luca,2025-10-11,12.34,,0.2955,0.2155,0.0152,8.54,0.56,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1CPTkA84J-G6Qk_aX5_O5gOThS2m-eME2?usp=drive_link
103,037-3,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Veilig, stressvrij en multifunctioneel trimmen","Zelfvertrouwen: Goed verzorgde schaamstreek, oksels en borst → “Ik voel me fris, clean en zelfverzekerd.”",📱 UGC Talking Head Testimonial,🎬 Video,Je denkt te weten hoe je je ballen moet scheren,Meta,NL & BE,Luca,2025-10-11,1100.55,,0.2625,0.2234,0.0115,9.16,0.79,,0.223,35.5,66.29,1.87,1.81,2.26,,Iterate,,,https://drive.google.com/drive/folders/1CPTkA84J-G6Qk_aX5_O5gOThS2m-eME2?usp=drive_link
104,038-1,Groom Guard,3. Solution Aware,Benefits-Driven,Reason-Why Marketing AngleFocus: concreet en overtuigend → 5 duidelijke redenen die de voordelen tastbaar maken.,"Nu: Schaamte en stress door onverzorgde of pijnlijke grooming. Straks: Zelfverzekerd, stressvrij en aantrekkelijk voelen – partner merkt het en waardeert het.",📱 UGC Talking Head Testimonial,🎬 Video,5 redenen waarom jij de Wellshave Groom Guard vandaag nog nodig hebt.,Meta,NL & BE,Luca,2025-10-13,289.23,,0.2837,18.58,0.017,10.13,0.76,,0.163,41.31,25.0,0.74,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1WwZYN23IuI5M68LkjeN94ck4rsyxWd9i?usp=drive_link
105,038-2,Groom Guard,3. Solution Aware,Benefits-Driven,Reason-Why Marketing AngleFocus: concreet en overtuigend → 5 duidelijke redenen die de voordelen tastbaar maken.,"Nu: Schaamte en stress door onverzorgde of pijnlijke grooming. Straks: Zelfverzekerd, stressvrij en aantrekkelijk voelen – partner merkt het en waardeert het.",📱 UGC Talking Head Testimonial,🎬 Video,Dit zijn 5 redenen waarom jij de Groom Guard van Wellshave moet hebben!,Meta,NL & BE,Luca,2025-10-13,15.87,,0.3488,0.2184,0.0186,16.36,0.88,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1WwZYN23IuI5M68LkjeN94ck4rsyxWd9i?usp=drive_link
106,038-3,Groom Guard,3. Solution Aware,Benefits-Driven,Reason-Why Marketing AngleFocus: concreet en overtuigend → 5 duidelijke redenen die de voordelen tastbaar maken.,"Nu: Schaamte en stress door onverzorgde of pijnlijke grooming. Straks: Zelfverzekerd, stressvrij en aantrekkelijk voelen – partner merkt het en waardeert het.",📱 UGC Talking Head Testimonial,🎬 Video,5 redenen waarom jij een de Groom Guard van Wellshave moet aanschaffen in plaatst van een scheermesje,Meta,NL & BE,Luca,2025-10-13,214.27,,0.3724,0.2279,0.015,12.44,0.82,,0.0307,26.78,52.89,1.97,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1WwZYN23IuI5M68LkjeN94ck4rsyxWd9i?usp=drive_link
107,039-1,Groom Guard,1. Unaware,Transformation / Before-After,"De ultieme bodygroomer die je zelfvertrouwen geeft, je huid beschermt én je het gemak van een all-in-one oplossing biedt","Ik wil me aantrekkelijk en verzorgd voelen, zonder gedoe of irritatie.",🖼️ Static ad,🖼️ Static ad,"Hey ChatGPT, ik heb morgen een date, heb je nog een tip voor mij om indruk te maken?",Meta,NL & BE,Daan,2025-10-13,6.28,,0.0,0.0,0.0142,8.08,0.57,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1Kn3s9BXxjDiGW1COGkKC0inrbtUOLaZ8?usp=drive_link
108,039-2,Groom Guard,1. Unaware,Transformation / Before-After,"De ultieme bodygroomer die je zelfvertrouwen geeft, je huid beschermt én je het gemak van een all-in-one oplossing biedt","Ik wil me aantrekkelijk en verzorgd voelen, zonder gedoe of irritatie.",🖼️ Static ad,🖼️ Static ad,"Hey ChatGPT, ik krijg altijd wondjes tijdens en na het scheren met een scheermes. Heb je een tip voor mij?",Meta,NL & BE,Daan,2025-10-13,5.28,,0.0,0.0,0.0069,9.06,1.32,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1Kn3s9BXxjDiGW1COGkKC0inrbtUOLaZ8?usp=drive_link
109,039-3,Groom Guard,1. Unaware,Transformation / Before-After,"De ultieme bodygroomer die je zelfvertrouwen geeft, je huid beschermt én je het gemak van een all-in-one oplossing biedt","Ik wil me aantrekkelijk en verzorgd voelen, zonder gedoe of irritatie.",🖼️ Static ad,🖼️ Static ad,"Hey ChatGPT, wat is de beste Bodygroomer van 2025?",Meta,NL & BE,Daan,2025-10-13,11.62,,0.0,0.0,0.0073,7.76,1.06,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1Kn3s9BXxjDiGW1COGkKC0inrbtUOLaZ8?usp=drive_link
110,040-1,Shave Package 3.0,2. Problem Aware,Comparison / Anti-X,"Transformeer je dagelijkse routine met een snelle, comfortabele en irritatievrije groomingervaring","Ik wil mijn dag zorgeloos en fris beginnen, met gemak en vertrouwen.",🖼️ Static ad,🖼️ Static ad,Dit heeft mijn ochtenden compleet veranderd,Meta,NL & BE,Daan,2025-10-08,81.52,,0.2384,0.0645,0.0198,8.98,0.59,,0.0208,27.17,67.62,2.49,1.81,2.26,,Iterate,,,https://drive.google.com/drive/folders/1BS6IQOAjn0IaKOtOflJuXL2XoR3gKYz8?usp=drive_link
111,040-2,Shave Package 3.0,2. Problem Aware,Comparison / Anti-X,"Transformeer je dagelijkse routine met een snelle, comfortabele en irritatievrije groomingervaring","Ik wil mijn dag zorgeloos en fris beginnen, met gemak en vertrouwen.",🖼️ Static ad,🖼️ Static ad,"De beste keus van dit seizoen: Glad, snel en zonder irritatie",Meta,NL & BE,Daan,2025-10-08,66.81,,0.2439,0.0694,0.0176,10.88,0.71,,0.0208,33.4,62.96,1.88,1.81,2.26,,Iterate,,,https://drive.google.com/drive/folders/1BS6IQOAjn0IaKOtOflJuXL2XoR3gKYz8?usp=drive_link
112,040-3,Shave Package 3.0,2. Problem Aware,Comparison / Anti-X,"Transformeer je dagelijkse routine met een snelle, comfortabele en irritatievrije groomingervaring","Ik wil mijn dag zorgeloos en fris beginnen, met gemak en vertrouwen.",🖼️ Static ad,🖼️ Static ad,Ochtenden vol irritatie?,Meta,NL & BE,Daan,2025-10-08,45.15,,0.2019,0.056,0.0157,10.72,0.85,,0.0,,,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1BS6IQOAjn0IaKOtOflJuXL2XoR3gKYz8?usp=drive_link
113,040-4,Shave Package 3.0,2. Problem Aware,Comparison / Anti-X,"Transformeer je dagelijkse routine met een snelle, comfortabele en irritatievrije groomingervaring","Ik wil mijn dag zorgeloos en fris beginnen, met gemak en vertrouwen.",🖼️ Static ad,🖼️ Static ad,Dit verandert je routine.,Meta,NL & BE,Daan,2025-10-08,40.48,,0.0,0.0,0.008,9.54,1.19,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1BS6IQOAjn0IaKOtOflJuXL2XoR3gKYz8?usp=drive_link
114,041-1,All products,2. Problem Aware,Comparison / Anti-X,Wij doorbreken onzin & hoge kosten in zelfverzorging — eindelijk eerlijke oplossingen die werken.,"Niet langer de “domme consument” zijn die teveel betaalt of eindeloos loopt te klungelen, maar juist het gevoel krijgen: “Ik pak dit slimmer aan, ik heb controle, en ik zorg goed voor mezelf zonder gedoe.”",👤 Founder Story / Origin Video,🎬 Video,Of wij voor onze klanten door het vuur gaan?,Meta,NL & BE,Luca & Daan,2025-10-13,59.36,,43.01,19.54,0.0169,13.38,0.79,,0.0,0.0,0.0,0.0,2.13,2.66,,Killed,,,https://drive.google.com/drive/folders/1tqNgH64YBQ6-Ydsn7mENySYw2r5k_DAG?usp=drive_link
115,041-2,All products,2. Problem Aware,Comparison / Anti-X,Wij doorbreken onzin & hoge kosten in zelfverzorging — eindelijk eerlijke oplossingen die werken.,"Niet langer de “domme consument” zijn die teveel betaalt of eindeloos loopt te klungelen, maar juist het gevoel krijgen: “Ik pak dit slimmer aan, ik heb controle, en ik zorg goed voor mezelf zonder gedoe.”",👤 Founder Story / Origin Video,🎬 Video,Het is klaar met de einddeloze discussies,Meta,NL & BE,Luca & Daan,2025-10-13,21.41,,0.4053,0.183,0.0107,10.87,1.02,,0.0,0.0,0.0,0.0,2.13,2.66,,Killed,,,https://drive.google.com/drive/folders/1tqNgH64YBQ6-Ydsn7mENySYw2r5k_DAG?usp=drive_link
116,041-3,All products,2. Problem Aware,Comparison / Anti-X,Wij doorbreken onzin & hoge kosten in zelfverzorging — eindelijk eerlijke oplossingen die werken.,"Niet langer de “domme consument” zijn die teveel betaalt of eindeloos loopt te klungelen, maar juist het gevoel krijgen: “Ik pak dit slimmer aan, ik heb controle, en ik zorg goed voor mezelf zonder gedoe.”",👤 Founder Story / Origin Video,🎬 Video,"Beschuit met muisjes, want er groeit okselhaar",Meta,NL & BE,Luca & Daan,2025-10-13,145.43,,0.3305,0.3806,0.0092,9.2,1.0,,0.3225,36.36,72.21,2.61,2.13,2.66,,Winner,,,https://drive.google.com/drive/folders/1tqNgH64YBQ6-Ydsn7mENySYw2r5k_DAG?usp=drive_link
117,042-1,All products,3. Solution Aware,Authority / Expert,Wij doorbreken onzin & hoge kosten in zelfverzorging — eindelijk eerlijke oplossingen die werken.,"Niet langer de “domme consument” zijn die teveel betaalt of eindeloos loopt te klungelen, maar juist het gevoel krijgen: “Ik pak dit slimmer aan, ik heb controle, en ik zorg goed voor mezelf zonder gedoe.”",👤 Founder Story / Origin Video,🎬 Video,Zie je hem daar? Daar ben ik dus helemaal klaar mee.,Meta,NL & BE,Luca & Daan,2025-10-13,7.02,,0.6182,0.1448,0.0236,11.86,0.5,,0.0,0.0,0.0,0.0,2.13,2.66,,Killed,,,https://drive.google.com/drive/folders/1rmfCw39T4CkCNRq8WM3YYiMVoFKDiL3h?usp=drive_link
118,042-2,All products,3. Solution Aware,Authority / Expert,Wij doorbreken onzin & hoge kosten in zelfverzorging — eindelijk eerlijke oplossingen die werken.,"Niet langer de “domme consument” zijn die teveel betaalt of eindeloos loopt te klungelen, maar juist het gevoel krijgen: “Ik pak dit slimmer aan, ik heb controle, en ik zorg goed voor mezelf zonder gedoe.”",👤 Founder Story / Origin Video,🎬 Video,Zo weer 300 euro... en voor wat? Haren verven!,Meta,NL & BE,Luca & Daan,2025-10-13,6.72,,0.3224,0.3084,0.0142,9.55,0.67,,0.0,0.0,0.0,0.0,2.13,2.66,,Killed,,,https://drive.google.com/drive/folders/1rmfCw39T4CkCNRq8WM3YYiMVoFKDiL3h?usp=drive_link
119,042-3,All products,3. Solution Aware,Authority / Expert,Wij doorbreken onzin & hoge kosten in zelfverzorging — eindelijk eerlijke oplossingen die werken.,"Niet langer de “domme consument” zijn die teveel betaalt of eindeloos loopt te klungelen, maar juist het gevoel krijgen: “Ik pak dit slimmer aan, ik heb controle, en ik zorg goed voor mezelf zonder gedoe.”",👤 Founder Story / Origin Video,🎬 Video,"Zo die is kapot, goede zelfverzorging zonder jezelf scheel te betalen.",Meta,NL & BE,Luca & Daan,2025-10-13,15.1,,0.3845,0.2095,0.0122,11.47,0.94,,0.0,0.0,0.0,0.0,2.13,2.66,,Killed,,,https://drive.google.com/drive/folders/1rmfCw39T4CkCNRq8WM3YYiMVoFKDiL3h?usp=drive_link
120,043-1,Tondeuse Elegant (K81S),3. Solution Aware,Benefits-Driven,"Barber kwaliteit, gewoon bij jou thuis.","Zelfverzekerdheid door een verzorgde uitstraling
Onafhankelijkheid: niet meer afhankelijk van de kapper
Gemak en zekerheid: altijd hetzelfde perfecte resultaat, thuis",🛠️ UGC Demo / How-To,🎬 Video,Dit zijn 3 redenen waarom deze tondeuse ons best verkochte product is.,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-12-24,4.08,,0.2,0.3367,0.0163,8.33,0.51,,0.0,0.0,0.0,0.0,2.23,2.98,,Killed,,,https://drive.google.com/drive/folders/1LkdgTT_eiK_iRjxh_E7n4-f-KHHuv3pH?usp=drive_link
121,043-2,Tondeuse Elegant (K81S),3. Solution Aware,Benefits-Driven,"Barber kwaliteit, gewoon bij jou thuis.","Zelfverzekerdheid door een verzorgde uitstraling
Onafhankelijkheid: niet meer afhankelijk van de kapper
Gemak en zekerheid: altijd hetzelfde perfecte resultaat, thuis",🛠️ UGC Demo / How-To,🎬 Video,Hier zijn 3 redenen waarom je over moet stappen naar deze tondeuse van Barber kwaliteit,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-12-24,15.05,,0.2253,0.3311,0.0207,5.67,0.27,,1.8182,15.05,62.96,4.18,2.23,2.98,,Winner,,,https://drive.google.com/drive/folders/1LkdgTT_eiK_iRjxh_E7n4-f-KHHuv3pH?usp=drive_link
122,043-3,Tondeuse Elegant (K81S),3. Solution Aware,Benefits-Driven,"Barber kwaliteit, gewoon bij jou thuis.","Zelfverzekerdheid door een verzorgde uitstraling
Onafhankelijkheid: niet meer afhankelijk van de kapper
Gemak en zekerheid: altijd hetzelfde perfecte resultaat, thuis",🛠️ UGC Demo / How-To,🎬 Video,Ik geef je 3 redenen waarom dit de laatste tondeuse is die je ooit nodig hebt.,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-12-24,41.35,,0.1974,0.3465,0.0224,6.56,0.29,,0.7092,41.35,70.9,1.71,2.23,2.98,,Killed,,,https://drive.google.com/drive/folders/1LkdgTT_eiK_iRjxh_E7n4-f-KHHuv3pH?usp=drive_link
123,044-1,Groom Guard,3. Solution Aware,Social Proof / Reviews,"Reason-Why
Marketing Angle Focus:concreet en
overtuigend →  duidelijke redenen die de voordelen
tastbaar maken.","Nu: Schaamte en stress door
onverzorgde of pijnlijke
grooming.
Straks: Zelfverzekerd, stressvrij
en aantrekkelijk voelen – partner
merkt het en waardeert het.",📱 UGC Talking Head Testimonial,🎬 Video,Ik geef je een paar redenen waarom jij de bodygroomer van Wellshave moet hebben,Meta,NL & BE,Luca,2025-10-24,15.74,,0.1618,0.2546,0.0071,13.92,1.95,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1LkdgTT_eiK_iRjxh_E7n4-f-KHHuv3pH?usp=drive_link
124,044-2,Groom Guard,3. Solution Aware,Social Proof / Reviews,"Reason-Why
Marketing Angle Focus:concreet en
overtuigend →  duidelijke redenen die de voordelen
tastbaar maken.","Nu: Schaamte en stress door
onverzorgde of pijnlijke
grooming.
Straks: Zelfverzekerd, stressvrij
en aantrekkelijk voelen – partner
merkt het en waardeert het.",📱 UGC Talking Head Testimonial,🎬 Video,"Ff serieus waarom gebruik je nog een scheermesje, dit zijn een paar redenen waarom je dat niet meer moet doen!",Meta,NL & BE,Luca,2025-10-24,153.05,,0.3384,0.2833,0.0101,8.66,1.06,,0.078,153.05,49.95,0.46,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1LkdgTT_eiK_iRjxh_E7n4-f-KHHuv3pH?usp=drive_link
125,044-3,Groom Guard,3. Solution Aware,Social Proof / Reviews,"Reason-Why
Marketing Angle Focus:concreet en
overtuigend →  duidelijke redenen die de voordelen
tastbaar maken.","Nu: Schaamte en stress door
onverzorgde of pijnlijke
grooming.
Straks: Zelfverzekerd, stressvrij
en aantrekkelijk voelen – partner
merkt het en waardeert het.",📱 UGC Talking Head Testimonial,🎬 Video,"Dit apparaat wow, dit zijn 5 redenen waarom je deze bodygroomer ook moet hebben",Meta,NL & BE,Luca,2025-10-24,29.35,,0.1623,0.3154,0.012,10.65,0.89,,0.303,29.35,69.95,2.38,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1LkdgTT_eiK_iRjxh_E7n4-f-KHHuv3pH?usp=drive_link
126,045-1,Scheerapparaat Elite,1. Unaware,Transformation / Before-After,"Premium Kwaliteit voor een Fractie van de Prijs (Social Proof Angle) : 
Onafhankelijke bevestiging (Bol.com review).
Zelfde prestaties als Braun/Philips → 70% goedkoper.","Emotie (nu): frustratie dat dure merken (Braun/Philips) altijd beter lijken, maar irritatie en hoge prijs veroorzaken.
Desire (na): opluchting en trots dat er eindelijk een betaalbare shaver is die écht glad scheert zonder irritatie.
Extra verlangen: compleet verzorgd gevoel door de extra opzetstukken → baard, lichaam, neus en oren allemaal met één apparaat geregeld.",⚖️ Split Screen Comparison,🎬 Video,Waarom €300 uitgeven aan een scheerapparaat van Braun of Philips… als deze van Wellshave hetzelfde doet voor 70% minder van prijs?,Meta,NL & BE,Henk,2025-10-19,5.55,,0.2398,0.2768,0.0064,11.88,1.85,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1PPfRYrbisutQDWPo9iFTAQd3yDd_pYkb?usp=drive_link
127,045-2,Scheerapparaat Elite,1. Unaware,Transformation / Before-After,"Premium Kwaliteit voor een Fractie van de Prijs (Social Proof Angle) : 
Onafhankelijke bevestiging (Bol.com review).
Zelfde prestaties als Braun/Philips → 70% goedkoper.","Emotie (nu): frustratie dat dure merken (Braun/Philips) altijd beter lijken, maar irritatie en hoge prijs veroorzaken.
Desire (na): opluchting en trots dat er eindelijk een betaalbare shaver is die écht glad scheert zonder irritatie.
Extra verlangen: compleet verzorgd gevoel door de extra opzetstukken → baard, lichaam, neus en oren allemaal met één apparaat geregeld.",⚖️ Split Screen Comparison,🎬 Video,Bol.com zette Wellshave naast Braun & Philips… en Wellshave kwamen verrassend goed uit de test.,Meta,NL & BE,Henk,2025-10-19,28.06,,0.196,0.3303,0.0153,11.22,0.73,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1PPfRYrbisutQDWPo9iFTAQd3yDd_pYkb?usp=drive_link
128,045-3,Scheerapparaat Elite,1. Unaware,Transformation / Before-After,"Premium Kwaliteit voor een Fractie van de Prijs (Social Proof Angle) : 
Onafhankelijke bevestiging (Bol.com review).
Zelfde prestaties als Braun/Philips → 70% goedkoper.","Emotie (nu): frustratie dat dure merken (Braun/Philips) altijd beter lijken, maar irritatie en hoge prijs veroorzaken.
Desire (na): opluchting en trots dat er eindelijk een betaalbare shaver is die écht glad scheert zonder irritatie.
Extra verlangen: compleet verzorgd gevoel door de extra opzetstukken → baard, lichaam, neus en oren allemaal met één apparaat geregeld.",⚖️ Split Screen Comparison,🎬 Video,"Ik heb eindelijk een scheerapparaat gevonden waar ik mezelf wel glad mee kan scheren, en ik ga je uitleggen hoe ik hier achter ben gekomen!",Meta,NL & BE,Henk,2025-10-19,12.48,,0.2939,0.2625,0.0134,9.37,0.7,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1PPfRYrbisutQDWPo9iFTAQd3yDd_pYkb?usp=drive_link
129,046-1,Shave Package 3.0,3. Solution Aware,Comparison / Anti-X,Van irritatie naar effortless comfort.,"Verlangen naar controle, gemak en zelfvertrouwen in de ochtend.",🖼️ Static ad,🖼️ Static ad,Dit heeft mijn ochtenden compleet veranderd,Meta,NL & BE,Luca,2025-10-20,2.97,,0.0,0.0,0.0026,7.71,2.97,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1du_9mIdJzjsMqW2qEi8SvV0vrblRGC6U?usp=drive_link
